# PanSTARRS1 zp1, m2 e- / photon
# Tonry et al. 2012, ApJ 750, 99
# https://iopscience.iop.org/0004-637X/750/2/99/suppdata/apj425122t3_mrt.txt
Wave                 zp1
---- -------------------
 380                 0.0
 381                 0.0
 382                 0.0
 383                 0.0
 384                 0.0
 385                 0.0
 386                 0.0
 387                 0.0
 388                 0.0
 389                 0.0
 390                 0.0
 391                 0.0
 392                 0.0
 393                 0.0
 394                 0.0
 395                 0.0
 396                 0.0
 397                 0.0
 398                 0.0
 399                 0.0
 400                 0.0
 401                 0.0
 402                 0.0
 403                 0.0
 404                 0.0
 405                 0.0
 406                 0.0
 407                 0.0
 408                 0.0
 409                 0.0
 410                 0.0
 411                 0.0
 412                 0.0
 413                 0.0
 414                 0.0
 415                 0.0
 416                 0.0
 417                 0.0
 418                 0.0
 419                 0.0
 420                 0.0
 421                 0.0
 422                 0.0
 423                 0.0
 424                 0.0
 425                 0.0
 426                 0.0
 427                 0.0
 428                 0.0
 429                 0.0
 430                 0.0
 431                 0.0
 432                 0.0
 433                 0.0
 434                 0.0
 435                 0.0
 436                 0.0
 437                 0.0
 438                 0.0
 439                 0.0
 440                 0.0
 441                 0.0
 442                 0.0
 443                 0.0
 444                 0.0
 445                 0.0
 446                 0.0
 447                 0.0
 448                 0.0
 449                 0.0
 450                 0.0
 451                 0.0
 452                 0.0
 453                 0.0
 454                 0.0
 455                 0.0
 456                 0.0
 457                 0.0
 458                 0.0
 459                 0.0
 460                 0.0
 461                 0.0
 462                 0.0
 463                 0.0
 464                 0.0
 465                 0.0
 466                 0.0
 467                 0.0
 468                 0.0
 469                 0.0
 470                 0.0
 471                 0.0
 472                 0.0
 473                 0.0
 474                 0.0
 475                 0.0
 476                 0.0
 477                 0.0
 478                 0.0
 479                 0.0
 480                 0.0
 481                 0.0
 482                 0.0
 483                 0.0
 484                 0.0
 485                 0.0
 486                 0.0
 487                 0.0
 488                 0.0
 489                 0.0
 490                 0.0
 491                 0.0
 492                 0.0
 493                 0.0
 494                 0.0
 495                 0.0
 496                 0.0
 497                 0.0
 498                 0.0
 499                 0.0
 500                 0.0
 501                 0.0
 502                 0.0
 503                 0.0
 504                 0.0
 505                 0.0
 506                 0.0
 507                 0.0
 508                 0.0
 509                 0.0
 510                 0.0
 511                 0.0
 512                 0.0
 513                 0.0
 514                 0.0
 515                 0.0
 516                 0.0
 517                 0.0
 518                 0.0
 519                 0.0
 520                 0.0
 521                 0.0
 522                 0.0
 523                 0.0
 524                 0.0
 525                 0.0
 526                 0.0
 527                 0.0
 528                 0.0
 529                 0.0
 530                 0.0
 531                 0.0
 532                 0.0
 533                 0.0
 534                 0.0
 535                 0.0
 536                 0.0
 537                 0.0
 538                 0.0
 539                 0.0
 540                 0.0
 541                 0.0
 542                 0.0
 543                 0.0
 544                 0.0
 545                 0.0
 546                 0.0
 547                 0.0
 548                 0.0
 549                 0.0
 550                 0.0
 551                 0.0
 552                 0.0
 553                 0.0
 554                 0.0
 555                 0.0
 556                 0.0
 557                 0.0
 558                 0.0
 559                 0.0
 560                 0.0
 561                 0.0
 562                 0.0
 563                 0.0
 564                 0.0
 565                 0.0
 566                 0.0
 567                 0.0
 568                 0.0
 569                 0.0
 570                 0.0
 571                 0.0
 572                 0.0
 573                 0.0
 574                 0.0
 575                 0.0
 576                 0.0
 577                 0.0
 578                 0.0
 579                 0.0
 580                 0.0
 581                 0.0
 582                 0.0
 583                 0.0
 584                 0.0
 585                 0.0
 586                 0.0
 587                 0.0
 588                 0.0
 589                 0.0
 590                 0.0
 591                 0.0
 592                 0.0
 593                 0.0
 594                 0.0
 595                 0.0
 596                 0.0
 597                 0.0
 598                 0.0
 599                 0.0
 600                 0.0
 601                 0.0
 602                 0.0
 603                 0.0
 604                 0.0
 605                 0.0
 606                 0.0
 607                 0.0
 608                 0.0
 609                 0.0
 610                 0.0
 611                 0.0
 612                 0.0
 613                 0.0
 614                 0.0
 615                 0.0
 616                 0.0
 617                 0.0
 618                 0.0
 619                 0.0
 620                 0.0
 621                 0.0
 622                 0.0
 623                 0.0
 624                 0.0
 625                 0.0
 626                 0.0
 627                 0.0
 628                 0.0
 629                 0.0
 630                 0.0
 631                 0.0
 632                 0.0
 633                 0.0
