# Cohen et al. 2003, AJ 126, 1090
# 2MASS photon-counting relative spectral response, H-band
# https://old.ipac.caltech.edu/2mass/releases/allsky/doc/sec6_4a.tbl2.html
#
wavelength  response
----------  -----------
12890       0.
13150       5.91635E-08
13410       1.27100E-07
13680       0.
13970       0.
14180       1.71065E-05
14400       5.11074E-04
14620       2.76582E-03
14780       8.08827E-03
14860       2.87356E-02
14930       8.71147E-02
15040       0.201449
15150       0.438159
15280       0.686357
15390       0.818076
15460       0.882073
15510       0.911825
15560       0.926872
15650       0.929288
15720       0.872747
15770       0.856619
15830       0.882556
15920       0.918084
15970       0.926654
16020       0.907594
16130       0.925974
16190       0.920496
16280       0.924198
16330       0.923533
16420       0.941788
16480       0.949134
16570       0.980658
16590       0.993744
16710       1.00000
16840       0.956052
17010       0.924116
17150       0.982120
17270       0.991589
17390       0.988683
17460       0.979168
17510       0.968184
17530       0.937040
17560       0.918998
17640       0.842264
17750       0.667111
17850       0.269402
17900       0.451630
17960       0.173062
18030       0.107726
18100       7.07003E-02
18130       5.10945E-03
18180       1.99705E-02
18280       3.91934E-04
18350       1.53053E-06
18500       5.94581E-05
18710       0.
18930       3.05088E-05
19140       0.
