# %ECSV 0.9
# ---
# datatype:
# - {name: wavelength, unit: um, datatype: float64}
# - {name: spectral irradiance, unit: W / (m2 um), datatype: float64, description: Averaged
#     over a small bandwidth centered at wavelength.}
# meta: !!omap
# - {Source: 'ASTM 2000, Standard Solar Constant and Air Mass Zero Solar Spectral Irradiance
#     Tables, Standard E490-00, American Society for Testing and Materials, West Conshohocken,
#     PA.'}
# - solar constant: !astropy.units.Quantity
#     unit: !astropy.units.Unit {unit: W / m2}
#     value: 1366.1
# schema: astropy-2.0
wavelength "spectral irradiance"
0.1195 0.06185
0.1205 0.5614
0.1215 4.901
0.1225 1.184
0.1235 0.0477
0.1245 0.03433
0.1255 0.02882
0.1265 0.03523
0.1275 0.02127
0.1285 0.01727
0.1295 0.03994
0.1305 0.1206
0.1315 0.03983
0.1325 0.04126
0.1335 0.168
0.1345 0.04572
0.1355 0.03802
0.1365 0.03094
0.1375 0.0292
0.1385 0.03968
0.1395 0.07562
0.1405 0.06075
0.1415 0.04207
0.1425 0.04683
0.1435 0.0511
0.1445 0.05093
0.1455 0.05535
0.1465 0.07087
0.1475 0.08485
0.1485 0.08199
0.1495 0.07956
0.1505 0.08697
0.1515 0.09266
0.1525 0.1163
0.1535 0.1299
0.1545 0.2059
0.1555 0.2144
0.1565 0.1847
0.1575 0.1717
0.1585 0.1675
0.1595 0.1754
0.1605 0.1934
0.1615 0.2228
0.1625 0.2519
0.1635 0.2841
0.1645 0.2973
0.1655 0.4302
0.1665 0.3989
0.1675 0.3875
0.1685 0.4556
0.1695 0.5877
0.1705 0.6616
0.1715 0.688
0.1725 0.7252
0.1735 0.7645
0.1745 0.9067
0.1755 1.079
0.1765 1.22
0.1775 1.403
0.1785 1.538
0.1795 1.576
0.1805 1.831
0.1815 2.233
0.1825 2.243
0.1835 2.244
0.1845 2.066
0.1855 2.311
0.1865 2.7
0.1875 3.009
0.1885 3.291
0.1895 3.569
0.1905 3.764
0.1915 4.165
0.1925 4.113
0.1935 3.808
0.1945 5.21
0.1955 5.427
0.1965 6.008
0.1975 6.191
0.1985 6.187
0.1995 6.664
0.2005 7.326
0.2015 8.023
0.2025 8.261
0.2035 9.217
0.2045 10.25
0.2055 10.54
0.2065 11.08
0.2075 12.65
0.2085 15.05
0.2095 21.38
0.2105 27.92
0.2115 33.54
0.2125 31.3
0.2135 33.15
0.2145 40.03
0.2155 36.15
0.2165 32.27
0.2175 35.29
0.2185 44.37
0.2195 46.92
0.2205 47.33
0.2215 39.58
0.2225 49.65
0.2235 63.01
0.2245 58.97
0.2255 52.29
0.2265 39.4
0.2275 39.92
0.2285 51.95
0.2295 47.71
0.2305 52.12
0.2315 50.97
0.2325 53.26
0.2335 44.74
0.2345 38.97
0.2355 51.42
0.2365 48.59
0.2375 48.44
0.2385 41.96
0.2395 44.12
0.2405 39.56
0.2415 51.48
0.2425 70.6
0.2435 66.53
0.2445 60.97
0.2455 49.39
0.2465 50.4
0.2475 55.5
0.2485 45.65
0.2495 56.38
0.2505 60.1
0.2515 46.01
0.2525 41.55
0.2535 51.55
0.2545 59.57
0.2555 79.3
0.2565 101.8
0.2575 125.4
0.2585 125.1
0.2595 104.0
0.2605 88.51
0.2615 89.8
0.2625 103.6
0.2635 165.8
0.2645 249.7
0.2655 252.7
0.2665 249.4
0.2675 250.8
0.2685 243.8
0.2695 238.9
0.2705 267.3
0.2715 224.4
0.2725 197.4
0.2735 196.5
0.2745 132.6
0.2755 175.1
0.2765 242.8
0.2775 233.8
0.2785 159.3
0.2795 85.55
0.2805 94.63
0.2815 208.3
0.2825 294.1
0.2835 313.5
0.2845 235.3
0.2855 163.1
0.2865 322.7
0.2875 336.3
0.2885 322.2
0.2895 472.7
0.2905 601.3
0.2915 580.8
0.2925 521.9
0.2935 535.5
0.2945 508.8
0.2955 553.2
0.2965 509.6
0.2975 507.3
0.2985 465.5
0.2995 484.0
0.3005 420.0
0.3015 455.5
0.3025 489.0
0.3035 620.6
0.3045 602.5
0.3055 594.8
0.3065 555.7
0.3075 615.0
0.3085 611.4
0.3095 496.5
0.3105 622.4
0.3115 729.2
0.3125 655.9
0.3135 699.9
0.3145 662.9
0.3155 633.0
